trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2021-07-08,57264.97668000003,-0.09696591853699094,-0.10418744804655031,21.86,,,-0.4273502331999997,-0.09143807148794678
2021-07-09,56867.64988000003,-0.0981296758104737,-0.10325228595178748,21.8,-0.09393183707398163,,-0.4313235011999997,-0.09393183707398163
2021-07-12,57439.64988000003,-0.09812967581047355,-0.1024418121363261,22.02,-0.084788029925187,,-0.4256035011999997,-0.084788029925187
2021-07-13,57607.46012000003,-0.09617622610141284,-0.10130922693266849,22.24,,-0.07564422277639236,-0.4239253987999997,-0.07564422277639236
2021-07-14,57780.49298000003,-0.09501246882793009,-0.10040523690773094,22.11,-0.08104738154613464,,-0.4221950701999997,-0.08104738154613464
2021-07-15,57234.492980000025,-0.09239401496259333,-0.09955320033250226,21.9,,,-0.42765507019999977,-0.08977556109725687
2021-07-16,58196.49298000003,-0.08877805486284286,-0.09819201995012487,22.27,-0.07439733998337486,,-0.4180350701999997,-0.07439733998337486
2021-07-19,61030.49298000003,-0.08179551122194499,-0.09589567747298434,23.36,,,-0.38969507019999966,-0.029093931837073955
2021-07-20,60146.49298000003,-0.07622610141313367,-0.09407730673316726,23.02,,,-0.3985350701999997,-0.04322527015793846
2021-07-21,60536.49298000004,-0.07003325020781374,-0.09210307564422297,23.17,,,-0.3946350701999996,-0.036990856192851085
2021-07-22,63136.49298000004,-0.060432252701579266,-0.0893495428096429,24.17,0.004571903574397464,,-0.3686350701999996,0.004571903574397464
2021-07-23,62408.49298000003,-0.051745635910224186,-0.08698046550290979,23.89,,,-0.3759150701999997,-0.007065669160432176
2021-07-26,61406.31440000004,-0.04488778054862836,-0.0846217788861184,23.67,,-0.016209476309226808,-0.3859368559999996,-0.016209476309226808
2021-07-27,60992.54915000005,-0.03919368246051529,-0.08215918536990897,23.61,-0.01870324189526182,,-0.39007450849999953,-0.01870324189526182
2021-07-28,59040.798900000045,-0.03553615960099738,-0.0804031587697426,22.99,,-0.04447215295095596,-0.40959201099999953,-0.04447215295095596
2021-07-29,59040.798900000045,-0.02805486284289265,-0.0782003325020784,23.7,,,-0.40959201099999953,-0.014962593516209453
2021-07-30,59040.798900000045,-0.023773898586866134,-0.07625727348295941,23.3,,,-0.40959201099999953,-0.03158769742310882
2021-08-02,59040.798900000045,-0.02169576059850368,-0.07362842892768108,23.86,,,-0.40959201099999953,-0.00831255195344968
2021-08-03,58629.66240000005,-0.019866999168744723,-0.0714879467996676,23.46,-0.02493765586034904,,-0.41370337599999946,-0.02493765586034904
2021-08-04,59554.662400000045,-0.017123857024106213,-0.06908769742310905,23.83,-0.009559434746467184,,-0.40445337599999953,-0.009559434746467184
2021-08-05,59609.912900000054,-0.017747298420614965,-0.066427680798005,24.02,,-0.0016625103906899065,-0.40390087099999944,-0.0016625103906899065
2021-08-06,59782.277540000054,-0.017871986699916714,-0.06405860349127174,23.86,-0.00831255195344968,,-0.40217722459999944,-0.00831255195344968
2021-08-09,59165.47254000005,-0.018121363258520217,-0.061855777223607536,23.61,-0.01870324189526182,,-0.4083452745999995,-0.01870324189526182
2021-08-10,61698.98379000005,-0.014214463840398952,-0.05873857024106407,24.55,,0.02036575228595187,-0.3830101620999995,0.02036575228595187
2021-08-11,61281.24387000006,-0.0065669160432253225,-0.055527847049043996,24.83,0.03200332502078136,,-0.3871875612999994,0.03200332502078136
2021-08-12,59673.08379000006,-0.003948462177888712,-0.05306525353283443,24.33,,0.01122194513715709,-0.40326916209999936,0.01122194513715709
2021-08-13,59673.08379000006,0.0007065669160432028,-0.05040523690773052,24.42,,,-0.40326916209999936,0.0149625935162096
2021-08-16,59267.96187000007,0.0016209476309227548,-0.048098503740648134,24.08,0.0008312551953449532,,-0.40732038129999926,0.0008312551953449532
2021-08-17,58355.96187000008,0.00261845386533661,-0.04670615128844531,23.7,-0.014962593516209453,,-0.4164403812999992,-0.014962593516209453
2021-08-18,59795.96187000008,0.004571903574397317,-0.04446176226101395,24.3,0.009975062344139734,,-0.4020403812999992,0.009975062344139734
2021-08-19,59195.96187000008,0.004696591853699215,-0.04261221945137142,24.05,,,-0.4080403812999992,-0.0004156275976724028
2021-08-20,59483.96187000009,0.00598503740648387,-0.0404405652535328,24.17,0.004571903574397464,,-0.40516038129999915,0.004571903574397464
2021-08-23,61247.21979000008,0.012094763092269343,-0.03726101413133816,25.08,,0.0423940149625935,-0.38752780209999915,0.0423940149625935
2021-08-24,61247.21979000008,0.015211970074812954,-0.03359310058187853,25.3,,,-0.38752780209999915,0.051537822111388285
2021-08-25,61430.853870000086,0.01766417290108081,-0.029862842892767884,25.42,0.056525353283458146,,-0.38569146129999915,0.056525353283458146
2021-08-26,61646.853870000086,0.02256857855361608,-0.025457190357439617,25.51,,,-0.38353146129999915,0.06026600166251051
2021-08-27,60650.39739000007,0.025062344139651086,-0.02169576059850368,25.02,,0.039900249376558644,-0.3934960260999993,0.039900249376558644
2021-08-30,60650.39739000007,0.028553615960099653,-0.01832917705735671,24.92,,,-0.3934960260999993,0.03574397339983387
2021-08-31,60650.39739000007,0.03362427265170412,-0.0149625935162096,24.92,,,-0.3934960260999993,0.03574397339983387
2021-09-01,60832.008750000066,0.03711554447215313,-0.011367414796342564,25.14,0.044887780548628506,,-0.39167991249999934,0.044887780548628506
2021-09-02,61504.00875000007,0.042809642560266196,-0.0076683291770575,25.42,,,-0.3849599124999993,0.056525353283458146
2021-09-03,61229.05923000006,0.04721529509559447,-0.0041043225270159,25.23,,0.04862842892768087,-0.38770940769999945,0.04862842892768087
2021-09-06,61229.05923000006,0.04709060681629286,-0.0009559434746468512,25.05,,,-0.38770940769999945,0.04114713216957615
2021-09-07,61229.05923000006,0.04862842892768087,0.002608063175394453,25.67,,,-0.38770940769999945,0.06691604322527028
2021-09-08,61229.05923000006,0.04875311720698247,0.006078553615959739,25.45,,,-0.38770940769999945,0.057772236076475504
2021-09-09,61408.29570000005,0.05033250207813793,0.010224438902742793,25.89,0.07605985037406492,,-0.38591704299999946,0.07605985037406492
2021-09-10,59786.97717000004,0.050706566916043326,0.013175394846217353,25.11,,0.043640897755611,-0.40213022829999956,0.043640897755611
2021-09-13,59960.19063000005,0.05112219451371573,0.014900249376558134,25.02,0.039900249376558644,,-0.4003980936999995,0.039900249376558644
2021-09-14,58373.19063000004,0.048669991687448316,0.01626142975893582,24.33,,,-0.41626809369999956,0.01122194513715709
2021-09-15,59224.19063000005,0.046841230257689215,0.01785120532003314,24.7,,,-0.4077580936999995,0.026600166251039094
2021-09-16,59730.190630000056,0.04476309226932676,0.01863050706566908,24.92,0.03574397339983387,,-0.4026980936999994,0.03574397339983387
2021-09-17,60512.19063000005,0.04488778054862836,0.02005403158769735,25.26,0.049875311720698375,,-0.39487809369999954,0.049875311720698375
2021-09-22,62536.19063000005,0.04941812136325838,0.022620532003324943,26.14,,,-0.3746380936999995,0.08645054031587705
